,CT_Jurkat_Empty_H3K27ac,CT_Jurkat_Tax_H3K27ac,CT_TL-Om1_Empty_H3K27ac,CT_TL-Om1_Tax_H3K27ac
ACADVL,7.276529448628426,12.691483272314072,4.511964034289122,4.887154755294323
ACAN,0.9733411303758621,1.2105025100708007,0.2051513458788395,0.16486106023192407
ACAP1,11.600875212967395,24.031586008518936,6.97256585226953,6.3339205721318725
ACAP2,9.476155085086823,15.436401954174041,23.12413542726636,23.622016694426538
ACAP3,9.880081922292709,10.386105660736561,26.89515986931324,29.493881890773775
ACAT1,1.8686424294114112,1.0174484330415725,2.023441628664732,1.6144474308192729
ACAT2,31.912012890279293,41.447178719043734,52.19448416620493,51.018435891270634
ACBD3,9.057326298236847,15.230824448168278,21.75741256892681,24.694795565366746
ACBD4,4.070622220635414,2.944859725236893,15.826394243985414,19.198104840368032
ACBD5,10.633808838963509,29.079179321408272,15.720176494032145,16.51755829948187
ACBD6,11.656561877250672,16.639393105089663,35.61741908743978,31.12065684646368
ACBD7,2.893358294606209,3.7629914218187333,3.5245961025357246,3.8114016773402692
ACCS,0.9509879961609841,5.911632931530476,9.365340298712253,10.043881958276033
ACCSL,1.2317745609879494,0.49881077170372007,0.4051433427631855,0.210903310328722
ACD,14.404036986231803,19.32628711402416,24.114386510252952,27.103992677927017
ACE,1.5255025136470795,2.1369540590643883,1.013162192389369,0.9569355889409781
ACE2,0.0,0.03339315891265869,0.0,0.04752744197845459
ACER1,0.7411823982000351,0.6302964365482331,0.23216053262352943,0.35437662854790686
ACER2,1.8619757046699523,2.8050252816081045,4.515302041918039,4.664816926419735
ACER3,3.498459817349911,3.243518761783838,10.303392329066991,9.113382582068443
ACHE,0.9945177649259567,1.1245153356790543,0.5571858894824981,0.2400137992501259
ACIN1,22.189973036170006,43.72917623645067,51.291476458996534,48.7916451587379
ACKR1,0.8960856065154076,0.7388243614137173,2.1562132689356805,2.310278848931193
ACKR2,6.3639718928337095,14.078136675179005,31.696777562499047,36.43215068474412
ACKR3,0.5725535994768143,2.8198437084555628,0.5620417055487633,0.28174885211884976
ACKR4,0.4235328054428101,0.3548025369644165,0.3808652818202972,0.18416916221380233
ACLY,5.178864966511727,6.9190605686903,7.169067616462708,6.465809444636107
ACMSD,0.1843151992559433,0.3710818467140198,0.10014764457941056,0.08554959225654601
ACO1,2.0015855516195296,3.169010960966349,2.602326424121857,1.8817907689511777
ACO2,13.9805061596632,38.47726317644119,42.73126621216536,54.04907035559416
ACOD1,0.48314112347364424,0.3522979932129383,0.6855570593327284,0.43071777641773223
ACOT1,0.0,0.06469924539327622,0.7257683722227812,0.5692898997813464
ACOT11,2.9635534215569495,5.268605957061053,9.709940215945243,21.164700164079665
ACOT12,0.980792172729969,0.4842010933160782,0.08649122312664986,0.08762886330485344
ACOT13,7.762809118926525,15.653040094077587,19.37253592245281,24.46176835939288
ACOT2,2.6510022473335266,0.7409113851189614,12.84320132613182,12.634867213219405
ACOT4,1.2274608236551285,1.3795557507872582,1.5513811010122298,1.7718822617828847
ACOT6,1.3392264053225518,0.844221315830946,0.5750905761122703,0.6884060903638601
ACOT7,14.363255405664445,17.608001637101175,19.88465664073825,20.04246023195982
ACOT8,7.95496740937233,15.380680438131094,33.30067255884409,28.358263975828887
ACOT9,0.6686327990889549,0.5061154690384865,0.5963344480097293,0.4247769297659397
ACOX1,10.314982293784619,22.395744878679515,22.977857378721236,27.75689845442772
ACOX2,3.45610645365715,2.220019613325596,1.2040501949191094,1.2422486328184605
ACOX3,5.958480224132538,12.875566124081612,13.04198034644127,14.376302057266235
ACOXL,2.0117808252573015,2.1081525719165803,0.6585473960638046,0.8081154643446207
ACP1,13.141279536485673,25.16173847347498,20.36491685628891,21.829934685826302
ACP2,8.126341590285302,12.715694671094418,14.460741454809904,13.844442775428295
ACP3,0.2509823989868164,0.32558357059955595,0.2898213379085064,0.2970469844341278
ACP4,1.627464011311531,1.9232376489043235,1.043964983075857,0.8094518224149942
ACP5,0.9709881596565246,1.7418711726069451,2.810208829969168,4.054387061685324
ACP6,3.1325759949684144,5.008555319130421,2.7282693126797675,2.5070708717405794
ACP7,0.9635371304154396,0.2963643816113472,0.5423151665925979,0.313830064997077
ACR,1.6431504100561143,0.82272474193573,0.23701632142066956,0.41943046313524246
ACRBP,2.6717864715456963,2.693367685288191,1.3975172013044357,1.1590759147703649
ACRV1,1.358442608833313,2.2327512047290803,0.33989535018801686,0.2212998779118061
ACSBG1,1.3137362623214721,1.672580039858818,0.7756901975572109,0.27476847410202027
ACSBG2,1.1576563260555268,1.0078475472927093,0.4010464953929186,0.39507234379649164
ACSF2,7.190646077871323,7.373207192361355,10.632058371633292,9.24170944866538
ACSF3,3.227477177977562,2.3730018183588983,0.38541718989610674,0.3802197240293026
ACSL1,2.4282547484636305,13.314686515450477,15.285293438583613,14.91558833885193
ACSL3,10.418905763864517,10.83858381319046,8.761115398526192,10.658023971617222
ACSL4,4.596115717887878,4.824683415591717,18.859812025845052,22.435764527603983
ACSL5,2.2760966790914536,1.5703141949772834,8.017898011445999,6.44056016844511
ACSL6,5.250238401532173,5.098298333108425,0.9565630108118057,0.7536079918295145
ACSM1,0.945105596780777,0.19618495672941208,0.3854171589016914,0.03713084354996681
ACSM2A,0.0,0.0,0.0,0.0
ACSM2B,0.7294190967082977,0.09600541293621064,0.0,0.0
ACSM3,0.400003210902214,0.1663397437632084,0.12336379106342793,0.141097082644701
ACSM4,0.1254911994934082,0.28968593120574954,0.4679633854329586,0.2432813690006733
ACSM5,0.5152982379198074,0.30596502089500427,10.75830558925867,8.526417524755
ACSM6,1.0431456243991852,0.2671454641222954,0.04855656147003174,0.04752744197845459
ACSS1,16.274635933041573,19.395162447690964,11.213521547317505,12.169990094304085
ACSS2,3.142770314335823,4.011769529044628,1.68764241746068,1.828915859758854
