,Empty,IRF4,Empty_Tax,IRF4_Tax
ADAMTSL5,13.486991396784783,8.888844960212708,7.966392301082611,11.921915702342988
ADAP1,0.8105005645155907,1.2687226432561873,1.1090380303263665,1.2478825169205665
ADAP2,16.01171117413044,17.508191868662834,15.243855180501939,13.953872688174247
ADAR,19.91715277528763,24.903251371383668,19.928703368663786,21.50917700791359
ADARB1,7.036670582652092,3.975830401778221,7.764430987596512,10.778557051360607
ADARB2,0.5977352166175842,0.5814135468006134,0.5841304612904787,0.452939827144146
ADAT1,35.579475305080415,35.53979151427746,31.661058520674704,31.170578042268755
ADAT2,29.653111279010773,33.59791454076767,30.439596140384673,27.586092636585235
ADAT3,46.722733001053335,25.99134793698788,33.88399815621972,37.403297941029074
ADCK1,30.543792437314988,33.309086650013924,26.327542537927627,27.59667942124605
ADCK2,19.368274381756784,12.0827250289917,15.48699497178197,19.291029632091522
ADCK5,56.24853786551952,47.123343868732455,49.30344683718681,48.586299255907534
ADCY1,5.199343865513802,4.105962615609169,4.999236666411162,4.861083011627198
ADCY10,0.5194603925943375,0.6492210119962692,0.6558453928679228,1.1274700719118118
ADCY2,0.2941236287355423,0.0773293924331665,0.21375699937343598,0.06410838067531585
ADCY3,15.20381201338768,13.219581993460656,13.371397175550461,17.256002673625947
ADCY4,3.825741608738899,4.098748791694641,3.366907874137163,3.0900206560492514
ADCY5,1.6224239432811738,1.165712594985962,1.7651169896125793,1.2487189000844956
ADCY6,2.4246213017106055,1.7185609138011932,1.6383425772190094,2.098292612016201
ADCY7,12.017792405366897,10.499776917696,9.245467318177223,13.67625643903017
ADCY8,0.2753851566910744,0.5626579660177231,0.2843154658824205,0.23970964312553406
ADCY9,5.5869207442998885,3.123186731338501,4.04565680372715,5.241830658078194
ADCYAP1,2.9334073396921156,2.516380860388279,2.9754822658151387,1.9040165946483611
ADCYAP1R1,0.5749642493724823,0.580547821521759,0.839297415137291,0.7453292946815491
ADD1,18.64316732060909,12.823414558172226,16.293670812129974,17.94642532932758
ADD2,9.652713589668274,7.61464134901762,7.729038653671742,7.332037441134453
ADD3,0.7386296350955963,0.6867317134141921,0.7375079300701618,1.1260763984918594
ADGB,0.34393481552600863,0.1814933115243912,0.3106878772526979,0.33810201948881147
ADGRA1,0.5189859124422074,1.3936615478992462,0.752776470810175,1.0536066337823868
ADGRA2,2.018778642117977,1.8763942789435386,1.7008037989139557,2.0573198064565656
ADGRA3,14.853714683532715,8.832868992805482,12.23367226934433,16.843765058279036
ADGRB1,1.757625624537468,2.368935781121254,1.9733215329051017,1.4354694432020187
ADGRB2,24.62075560760498,26.8740035289526,23.849204469412566,22.30216670548916
ADGRB3,13.27161438536644,12.35886174082756,14.312949662208558,14.900445731163025
ADGRD1,1.0256375118494034,1.2040886747837067,1.1816789851784706,0.5259672277569771
ADGRD2,5.560357784211636,4.651308386325836,3.9727853050231934,4.377761612474918
ADGRE1,0.6722144429683685,1.0624146384000779,1.5032401266992093,0.6990597223043442
ADGRE2,5.372499666213989,5.421717616915703,3.333594369292259,3.5594048112630845
ADGRE3,33.78199494254589,33.95687043070793,29.72660156273842,32.863037120759486
ADGRE5,4.490126031458378,5.24887919819355,5.336528538748622,5.503834240436554
ADGRF1,0.4388135802745819,0.09233360290527344,0.1573105150461197,0.35398967504501344
ADGRF3,45.00090648597479,65.55197947275639,40.30643945464492,48.60330384427309
ADGRF4,0.5227809153795242,0.6942335456609726,0.22439873531460763,0.42813282084465026
ADGRF5,0.6001069039106369,0.702889997959137,0.22648070454597474,0.33893852251768114
ADGRG1,1.1945214176177978,1.0710705924034118,1.1076508278548718,1.7799811874628066
ADGRG2,0.3076438704133034,0.14340562701225282,0.3632021041214466,0.21991961729526519
ADGRG3,1.8980457654595375,1.5878504566550256,1.8354430723190307,2.176337280511856
ADGRG4,0.5733039146065712,0.08944817781448364,0.2998152955174446,0.35120258927345277
ADGRG5,0.8183275586366654,1.3775031799077988,1.514806666046381,1.5313531809449197
ADGRG6,0.5958375201225281,1.8403259986639022,0.8420734044909477,0.48778099060058594
ADGRG7,2.162994058907032,2.6234306228160857,2.4149480276405813,1.8872932414412498
ADGRL1,8.08531485080719,3.2991976737976074,5.8197964797317985,5.7764387307167055
ADGRL2,0.13994593799114227,0.13850040435791017,0.2389731209129095,0.17838860273361207
ADGRL3,0.17789744079113007,0.12118785381317139,0.012954983592033386,0.17002655148506166
ADGRL4,0.5218322461843491,0.31739675998687744,0.08605806714296341,0.20681922233104705
ADGRV1,34.40772138142586,36.3194518635273,29.038596771925686,33.623973371505734
ADH1A,0.0,0.27411560356616976,0.027760679125785826,0.16473050463199615
