set,n_genes,CSI,collection,z,pct,risk
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,16,2.036405898159404,Reactome,3.6029012435916923,1.0,high
REACTOME_SIGNAL_TRANSDUCTION_BY_L1,21,2.030798729208167,Reactome,3.29645027146787,0.9833333333333333,high
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,294,2.025992876311534,Reactome,5.193857675975508,1.0,high
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,71,2.0247774929116082,Reactome,3.2800702912026263,0.9833333333333333,high
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,110,2.019285155337237,KEGG,4.4150693216082635,0.9916666666666667,high
REACTOME_SIGNALING_BY_ERBB4,55,2.0053098606833193,Reactome,3.834368071074478,0.9916666666666667,high
REACTOME_GABA_B_RECEPTOR_ACTIVATION,39,1.9942174934176395,Reactome,3.812557582489761,0.9916666666666667,high
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,124,1.942812570648384,KEGG,3.893728716325594,0.9916666666666667,high
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,37,1.9340723462292213,Reactome,3.13780954959133,0.9833333333333333,high
REACTOME_ENDOGENOUS_STEROLS,21,1.927501244134152,Reactome,3.1270322999125826,0.9833333333333333,high
REACTOME_GPCR_LIGAND_BINDING,387,1.9197269981208045,Reactome,3.2987122059488048,1.0,high
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,241,1.9093351262209244,KEGG,4.235525116189112,1.0,high
HALLMARK_COAGULATION,127,1.8998317260470476,Hallmark,3.8039347571069357,0.9916666666666667,high
HALLMARK_HYPOXIA,193,1.8988714576760437,Hallmark,2.079059783158585,0.9833333333333333,caution
REACTOME_INTERLEUKIN_10_SIGNALING,45,1.8911130238158063,Reactome,3.6098272902606294,0.9833333333333333,high
REACTOME_SIGNALING_BY_NOTCH2,33,1.8893554110446342,Reactome,3.0644694053689054,0.9833333333333333,high
