Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM831264,0.0253941781663624,0,0,0.114416736205769,0,0.170425447857249,0.0653772459961701,0.140523862664233,0.0353932043315146,0,0.0186803203802842,0.00754779632573032,0.411239485294673,0.00572431200124508,0,0.00140646546630437,0,0.00180488616063606,0.00113317873625948,0,0,0.000932880413570073,0,0.450211090171195,0.893312828273246
GSM831265,0,0,0.0151057206368585,0.14028853165126,0.0935110946250637,0.217831192216619,0,0.0953010646549738,0.128457560534872,0,0,0.0743681330107,0.165592459719766,0.0324792555045289,0,0.0205224496799142,0,0.00714390312201852,0,0,0.00939863464342506,0,0,0.49174909142793,0.870393844694618
GSM831266,0,0.0497966058323311,0,0.0683124887014995,0.1974807092079,0.245022224905444,0.0364224550389499,0,0.0389452587193136,0,0.107105132437192,0,0.202808819634006,0.00106266797028106,0,0,0,0.00956471710635077,0,0.032422874606477,0.0110560458402555,0,0,0.45484026808204,0.890819878984889
GSM831267,0,0.00655712302477777,0,0.193797067188361,0.0236254294905916,0.0294483104122517,0.15251097287714,0.0599520809779078,0.117647371475542,0,0.0403363684620484,0,0.275917272057488,0.00259498123671457,0,0.0232631251861364,0,0.0136295814807826,0,0.0444610948587993,0.0162592212714589,0,0,0.42455837663201,0.905112388480986
GSM831268,0,0.0437721648275611,0,0.0728572527641994,0.0697822063430137,0.404214935826248,0.0178669956462312,0.0627979267100565,0.185744166207894,0,0.0149532433722585,0.0111420584630387,0.0847517212559496,0.00217534800296081,0,0.000156861911465453,0.00119582642025632,0.000992058601070264,0,0.00989881846299639,0.0176984151847999,0,0,0.495603562217156,0.870289118686232
GSM831269,0,0.00279067324756735,0.00667012860194917,0.156765049463868,0.132167632184885,0.0142723765947587,0.033420843932597,0.100655800841965,0.162476146862991,0,0.0673616166330361,0,0.228365847110888,0.005381060241191,0,0.0197095730421581,0,0.0109441420704245,0,0.0590191091717203,0,0,0,0.34131023402103,0.948295596506295
GSM831270,0.0571844307042512,0,0,0.0688200400164183,0.0422511923181102,0.303225527550353,0.0294210483389631,0.0935238079693211,0.127338239560705,0,0.057709199300373,0.00680016852072496,0.149164268728523,0,0,0.0193534920836689,0,0.00641299667013126,0,0.0242569645908497,0.00661295367442434,0.00792566997318285,0,0.396537680775776,0.922482357746109
GSM831271,0,0.02921356163268,0.0150659556620672,0.11613747016862,0.135028221632027,0.238283970541979,0.0206327489156475,0.12281341770919,0.055147866610915,0,0,0.0975704439951748,0.130236850303102,0.00559747032170385,0,0.0151640592749099,0.00489757813360729,0.00230826349235169,0,0,0.011902121606025,0,0,0.378137865611713,0.937823553135882
GSM831272,0,0,0.0315311338688625,0.092065260300554,0.120961721295427,0,0.0317151999980968,0.249025263063766,0.0254005711510782,0,0,0,0.308142131687362,0.0485294618300638,0,0.0157332334518103,0,0.0133606307164177,0,0.0455730148063212,0.01796237783024,0,0,0.314209789252437,0.958592905751619
GSM831273,0,0,0.00726704721202211,0.0144344232286731,0.347020798471994,0,0.0604874916868053,0.206775273777042,0.217834904101142,0,0.0281071882973524,0,0.0900059384133079,0,0,0.00145072767895753,0,0.00043330594081715,0,0.0180699876948596,0.00811291349702688,0,0,0.508148597607658,0.862985482078046
GSM831274,0.0411758947482168,0,0,0.221555917452104,0.100649903639582,0.229767525397777,0.19822783714406,0,0,0,0.00473494691411319,0.102649635566039,0.0504986006416621,0.0141316824496532,0,0.00612523895163482,0,0.00647086224312645,0.0146856773925978,0,0.00401141262800325,0.00531486483143091,0,0.4269374454871,0.912415377114152
